, weight, , tcheby, , pvalue
5_24_WOB, 0.09388597000000001, 0.014912084579933819, 0.07284125999999999, 0.013297997710723219, 9.811254512987531e-05
6_24_WOB, 0.24923105000000004, 0.005598622575910976, 0.26932655000000005, 0.01232383214943712, 9.77741818743726e-07
10_24_WOB, 0.065340465, 0.012095499152464731, 0.047469494999999994, 0.00690502912365147, 2.873434661306939e-06
15_24_WOB, 0.25575509999999996, 0.05547132087475474, 0.14196610000000004, 0.01391838892221366, 8.512328416895721e-08
30_24_N, 0.46128705, 0.025698201628664596, 0.47031065000000005, 0.028105679074299197, 0.22350758765929957
40_24_N, 0.4663422, 0.0409932707753358, 0.23878234999999992, 0.006862704192044125, 6.301848221392269e-08
